|name   |alt_name  |ra         |dec        |vmag |multiple|class                                              |bii      |lii      |parallax|
|HR 4389|          |11 20 03.91|-71 59 39.8| 6.41|        |                                           STAR B4V|-10.37700|295.92500|        |
|HR 4138|          |10 30 20.11|-71 59 35.2| 4.74|        |                                           STAR A1V|-12.06620|292.41300|0.014   |
|HR 4862|          |12 49 44.90|-71 59 11.0| 5.55|        |                                           STAR G8I|-9.11500 |302.80000|        |
|HR 5598|          |15 07 08.71|-71 54 19.1| 6.52|        |                                         STAR K4III|-11.77520|313.13100|        |
|HR 939 |The Hyi   |03 02 15.41|-71 54 09.0| 5.53|W       |                                           STAR B3V|-41.76350|289.92800|0.103   |
|HR 8159|          |21 25 18.10|-71 47 57.8| 6.09|W       |                                         STAR K2III|-37.30720|320.83900|        |
|HR 2505|          |06 40 57.79|-71 46 32.2| 6.51|W       |                                         STAR K1III|-26.47620|282.50500|        |
|HR 2283|          |06 15 05.90|-71 42 10.1| 6.64|        |                                           STAR F8V|-28.49260|282.27700|        |
|HR 3777|          |09 27 06.41|-71 36 07.9| 5.47|        |                                         STAR K2III|-14.84590|288.21500|0.036   |
|HR 4923|Del Mus   |13 02 16.20|-71 32 56.0| 3.62|        |                                         STAR K2III|-8.69530 |303.79900|0.030   |
|HR 3301|Kap1Vol   |08 19 49.01|-71 30 54.0| 5.37|W       |                                         STAR B9III|-19.04550|284.82500|        |
|HR 3302|Kap2Vol   |08 20 00.70|-71 30 19.1| 5.65|W       |                                          STAR A0IV|-19.02720|284.82400|        |
|HR 4596|          |12 02 28.61|-71 29 20.0| 6.42|        |                                         STAR K1III|-8.98950 |299.02400|        |
