,name,alt_name,ra,dec,vmag,multiple,class,bii,lii,parallax,distance,absmag
7988,HR 2849,22Lyn,07 29 55.99,+49 40 21.0,5.36,W,STARF6V,26.3538,168.334,0.042,66.52179842894583,1.245180090316615
7989,HR 5023,21CVn,13 18 14.50,+49 40 54.8,5.15,,STARA0V,66.8658,111.853,0.02,277.34385858598756,-2.0650927672136774
7990,HR 6437,,17 16 48.60,+49 41 28.0,7.48,,STARK2,35.3621,76.3304,,765.6252997585009,-1.940081380400681
7991,HR 6792,,18 07 06.29,+49 42 38.2,6.32,,STARA2V,27.2873,77.3666,0.008,721.5849064095606,-2.9714372018573663
7992,HR 6886,,18 21 07.10,+49 43 32.2,6.4,,STARK1III,25.074,77.9023,,624.8206469293513,-2.578776860902966
7993,HR 8726,,22 56 25.99,+49 44 01.0,4.95,,STARK5I,-8.9969,104.585,-0.001,2064.2808715007686,-6.623843941142166
7994,HR 6399,,17 11 40.20,+49 44 48.1,6.04,,STARA5III,36.1938,76.3794,,315.7370548858871,-1.4566277683161752
7995,HR 8445,,22 08 16.51,+49 47 47.0,6.42,,STARK5III,-4.9731,97.8887,,1304.6255107884854,-4.15742933255409
7996,HR 3917,31UMa,09 55 43.01,+49 49 12.0,5.27,,STARA3III,49.6338,166.651,0.025,217.00357797546334,-1.4123344729797367
7997,HR 1971,27OmiAur,05 45 54.00,+49 49 35.0,5.47,,STARA2V,10.7464,161.979,0.019,586.6121901027363,-3.371755418003989
7998,HR 5420,24Boo,14 28 37.80,+49 50 40.9,5.59,,STARG3IV,60.6438,90.1621,0.022,313.913741768163,-1.8940516381283903
7999,HR 1037,,03 28 52.39,+49 50 53.9,5.58,,STARB6V,-5.4621,147.186,,566.2437112797246,-3.185016958798217
8000,HR 7293,,19 12 04.61,+49 51 15.1,6.75,,STARG4V,17.2748,80.675,0.044,81.21423747438281,2.2018391447705365
8001,HR 7294,,19 12 04.99,+49 51 22.0,6.57,,STARG4V,17.2745,80.6773,0.044,81.21423747438281,2.021839144770537
8002,HR 1017,33AlpPer,03 24 19.39,+49 51 40.0,1.79,W,STARF5I,-5.8624,146.569,0.016,506.45400263528165,-6.732700039115215
8003,HR 5964,,15 59 04.39,+49 52 52.0,6.05,,STARF0IV,47.7723,78.4916,,159.25604379742256,0.03952038560468818
8004,HR 2112,,06 02 48.70,+49 54 20.2,6.05,,STARB9IV,13.1862,163.222,,423.57971129496286,-2.0846757500518676
8005,HR 7252,,19 05 09.91,+49 55 23.9,6.43,,STARK3III,18.3375,80.3193,,748.0650864612876,-2.9396969295713475
8006,HR 2081,,05 59 21.79,+49 55 27.8,5.89,,STARG5III,12.7,162.946,,1230.7787837627222,-4.560900006230238
8007,HR 1493,,04 43 21.60,+49 58 26.0,5.87,W,STARB9III,2.6187,156.016,,789.7248854651849,-3.6173791176322716
8008,HR 8246,,21 32 56.59,+49 58 40.1,5.75,S,STARA0V,-1.2361,93.59,,478.93741218373185,-2.6513938163503514
8009,HR 9083,,00 01 19.30,+49 58 54.1,6.22,,STARG7II,-12.0902,114.73,,815.3909442428035,-3.3368294192744656
8010,HR 694 ,64And,02 24 24.89,+50 00 24.1,5.19,,STARG8III,-10.15,137.864,-0.001,419.2241358574825,-2.9222313909658313
8011,HR 6306,,16 56 06.41,+50 02 20.0,6.56,,STARM2III,38.6944,76.8042,,1105.614839651259,-3.658019296023461
8012,HR 1330,,04 19 13.30,+50 02 56.0,5.45,,STARA7V,-0.1555,153.306,,259.2658010310981,-1.618726170368027
8013,HR 8780,3And,23 04 10.99,+50 03 07.9,4.65,,STARK0III,-9.2322,105.868,0.004,181.39954265690844,-1.6431809389282268
8014,HR 5648,,15 08 19.51,+50 03 18.0,6.39,,STARK0III,55.2929,83.5731,,449.251208949203,-1.872446272413808
8015,HR 7311,,19 15 19.30,+50 04 14.9,6.27,,STARG8III,16.8727,81.0903,,342.60123707680816,-1.4039446339919053
8016,HR 8606,,22 35 53.40,+50 04 16.0,6.29,,STARB3V,-7.1535,101.791,,2117.898556474814,-5.339525771731964
8017,HR 989 ,31Per,03 19 07.61,+50 05 42.0,5.03,,STARB5V,-6.1222,145.736,,558.4869481115093,-3.7050651403522785
8018,HR 7660,26Cyg,20 01 21.60,+50 06 16.9,5.05,,STARK1II,10.2751,84.4888,0.014,451.11532184940717,-3.2214378894416242
8019,HR 682 ,63And,02 20 58.20,+50 09 05.0,5.59,,STARB9,-10.2083,137.287,,412.85617430015367,-2.48899391946207
8020,HR 7469,13TheCyg,19 36 26.50,+50 13 16.0,4.48,,STARF4V,13.8472,82.6676,0.056,59.801316042743196,0.5964462921137788
8021,HR 987 ,29Per,03 18 37.80,+50 13 19.9,5.15,,STARB3V,-6.0576,145.6,,584.5096374500383,-3.6839583812263825
8022,HR 7702,,20 07 11.50,+50 13 45.1,6.54,,STARA3V,9.5375,85.0838,,699.9063899079858,-2.6851997924642754
8023,HR 7755,,20 15 43.39,+50 13 58.1,6.31,S,STARA2V,8.3844,85.822,,377.9332302400016,-1.5770753973382297
8024,HR 7465,,19 35 55.90,+50 14 19.0,6.52,,STARG9III,13.9282,82.6471,,526.0586737050345,-2.0851709284230076
8025,HR 7381,,19 23 23.81,+50 16 17.0,6.51,,STARB9III,15.7609,81.8092,,908.5135869000595,-3.281657133022682
8026,HR 699 ,65And,02 25 37.39,+50 16 43.0,4.71,W,STARK4III,-9.8267,137.949,0.011,437.2069406127632,-3.4934352385509335
8027,HR 8585,7AlpLac,22 31 17.50,+50 16 57.0,3.77,,STARA1V,-6.5979,101.26,0.04,102.59716190535433,-1.2856767363404131
8028,HR 1324,,04 18 14.59,+50 17 44.2,4.61,,STARA2V,-0.0889,153.021,,313.6119016318475,-2.871962679420375
8029,HR 7427,,19 31 19.30,+50 18 24.1,5.53,,STAR,14.6225,82.3837,,454.25679345002976,-2.756507154702775
8030,HR 7929,51Cyg,20 42 12.60,+50 20 24.0,5.39,,STARB2V,4.9946,88.3715,,1376.1872476671788,-5.303387645863758
8031,HR 1261,47LamPer,04 06 34.99,+50 21 05.0,4.29,,STARA0IV,-1.3215,151.626,,421.9358055590186,-3.836231906322652
8032,HR 8072,,21 03 25.99,+50 21 06.8,6.37,,STARK0,2.3969,90.5469,,384.6183699258507,-1.555150114630707
8033,HR 8705,,22 52 52.30,+50 24 42.8,6.46,,STARB8V,-8.1366,104.367,,799.4028865125524,-3.0538285604648756
8034,HR 5835,,15 38 34.30,+50 25 23.9,5.84,,STARG8III,50.7389,80.8034,,371.05389954166253,-2.0071850005454177
8035,HR 2969,,07 44 04.20,+50 26 02.0,5.27,,STARA0III,28.7221,167.945,0.015,689.5483672243581,-3.9228236722252188
8036,HR 8040,,20 58 30.10,+50 27 43.9,5.61,,STARB5V,3.0608,90.1118,0.008,1264.1720065779898,-4.899030846098125
8037,HR 8967,18And,23 39 08.30,+50 28 18.1,5.3,,STARB9V,-10.7651,111.336,,413.3794394133351,-2.7817443598671767
8038,HR 179 ,19XiCas,00 42 03.89,+50 30 45.0,4.8,,STARB2V,-12.3314,121.407,,1503.0247820143843,-6.084830706671628
8039,HR 7504,,19 41 52.01,+50 31 03.0,6.2,,STARG2V,13.2043,83.3365,0.039,68.98400543509337,2.0062579634517173
8040,HR 5148,,13 40 23.21,+50 31 09.8,6.32,,STARF7V,64.8177,104.467,0.049,83.11834294014307,1.7215156176252773
8041,HR 7503,16Cyg,19 41 48.89,+50 31 31.1,5.96,,STARG1V,13.2151,83.3398,0.039,68.98400543509337,1.766257963451717
8042,HR 7210,,19 00 13.70,+50 32 01.0,5.38,,STARB2IV,19.2887,80.6381,,584.5096374500383,-3.453958381226382
