ObjectNum,Name,Type,Constellation,Magnitude,Size,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Distance (ly)
M51,NGC 5194 Whirlpool Galaxy,Spiral Galaxy,Canes Venatici,8.4,11.0,13,29.9,+,47,12.0,"37,000,000"
M52,NGC 7654,Open Cluster,Cassiopeia,7.3,13.0,23,24.2,+,61,35.0,"5,000"
M53,NGC 5024,Globular Cluster,Coma Berenices,7.6,12.6,13,12.9,+,18,10.0,"56,400"
M54,NGC 6715,Globular Cluster,Sagittarius,7.6,9.1,18,55.1,-,30,29.0,"82,800"
M55,NGC 6809,Globular Cluster,Sagittarius,6.3,19.0,19,40.0,-,30,58.0,"16,600"
M56,NGC 6779,Globular Cluster,Lyra,8.3,7.1,19,16.6,+,30,11.0,"31,600"
M57,NGC 6720 Ring Nebula,Planetary Nebula,Lyra,8.8,1.4,18,53.6,+,33,2.0,"4,100"
M58,NGC 4579,Spiral Galaxy,Virgo,9.7,5.5,12,37.7,+,11,49.0,"60,000,000"
M59,NGC 4621,Elliptical Galaxy,Virgo,9.6,5.0,12,42.0,+,11,39.0,"60,000,000"
M60,NGC 4649,Elliptical Galaxy,Virgo,8.8,7.0,12,43.7,+,11,33.0,"60,000,000"
M61,NGC 4303,Spiral Galaxy,Virgo,9.7,6.0,12,21.9,+,4,28.0,"60,000,000"
M62,NGC 6266,Globular Cluster,Ophiucus,6.5,14.1,17,1.2,-,30,7.0,"21,500"
M63,NGC 5055 Sunflower Galaxy,Spiral Galaxy,Canes Venatici,8.6,10.0,13,15.8,+,42,2.0,"37,000,000"
M64,NGC 4826 Blackeye Galaxy,Spiral Galaxy,Coma Berenices,8.5,9.3,12,56.7,+,21,41.0,"19,000,000"
M65,NGC 3623,Spiral Galaxy,Leo,9.3,8.0,11,18.9,+,13,5.0,"35,000,000"
M66,NGC 3627,Spiral Galaxy,Leo,8.9,8.0,11,20.2,+,12,59.0,"35,000,000"
M67,NGC 2682,Open Cluster,Cancer,6.1,30.0,8,50.4,+,11,49.0,"2,700"
M68,NGC 4590,Globular Cluster,Hydra,7.8,12.0,12,39.5,-,26,45.0,"33,300"
M69,NGC 6637,Globular Cluster,Sagittarius,7.6,7.1,18,31.4,-,32,21.0,"26,700"
M70,NGC 6681,Globular Cluster,Sagittarius,7.9,7.8,18,43.2,-,32,18.0,"28,000"
M71,NGC 6838,Globular Cluster,Sagitta,8.3,7.2,19,53.8,+,18,47.0,"11,700"
M72,NGC 6981,Globular Cluster,Aquarius,9.3,5.9,20,53.5,-,12,32.0,"52,800"
